Mon Feb 13 17:17:20 2023    profile.txt

         44404943 function calls (43686407 primitive calls) in 132.573 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    99254    0.088    0.000    0.449    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\ops.py:6030(executing_eagerly_outside_functions)
    64800    0.088    0.000    0.100    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\node.py:168(map_arguments)
    28808    0.088    0.000    5.651    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\gen_nn_ops.py:866(bias_add)
   105302    0.086    0.000    0.086    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsMutableMapping}
    21606    0.085    0.000   12.409    0.001 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\gen_nn_ops.py:1098(conv2d)
     9600    0.084    0.000   12.246    0.001 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\gen_nn_ops.py:1307(conv2d_backprop_filter)
    28818    0.083    0.000    0.269    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer.py:2828(_set_mask_metadata)
   519346    0.083    0.000    0.083    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:264(value)
    17200    0.082    0.000    0.109    0.000 C:\Users\mailv\miniconda3\lib\inspect.py:2783(args)
   132864    0.082    0.000    0.097    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\ops.py:6956(__init__)
   108400    0.081    0.000    9.033    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\ops.py:1426(convert_to_tensor_v2_with_dispatch)
    21606    0.080    0.000    4.658    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\gen_nn_ops.py:6021(max_pool)
    21606    0.079    0.000   12.507    0.001 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\nn_ops.py:2773(_conv2d_expanded_batch)
    79218    0.078    0.000    0.078    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\mixed_precision\autocast_variable.py:574(__exit__)
   126400    0.078    0.000    0.078    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\eager\backprop.py:70(op_attr_type)
   129632    0.077    0.000    0.105    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer.py:3299(_expects_mask_arg)
   513271    0.076    0.000    0.076    0.000 {method 'pop' of 'dict' objects}
     7152    0.076    0.000    0.216    0.000 C:\Users\mailv\miniconda3\lib\inspect.py:2279(_signature_from_function)
    71232    0.075    0.000    0.165    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\trackable\data_structures.py:93(wrap_or_unwrap)
    18400    0.075    0.000    0.560    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow_probability\python\distributions\distribution.py:1952(_name_and_control_scope)
